type,models,weights,roc_auc
triple,XGB_G+XGB_E+XGB_H,"[0.7, 0.15, 0.15]",0.944847690379139
triple,XGB_G+XGB_A+XGB_D,"[0.7, 0.15, 0.15]",0.9448474829505793
triple,XGB_G+XGB_F+XGB_C,"[0.7, 0.15, 0.15]",0.944847440715434
triple,XGB_G+XGB_A+XGB_D,"[0.6, 0.2, 0.2]",0.9448474018007595
triple,XGB_G+XGB_A+XGB_B,"[0.5, 0.3, 0.2]",0.9448466253071494
triple,XGB_G+XGB_E+XGB_C,"[0.7, 0.15, 0.15]",0.944846424837614
triple,XGB_G+XGB_E+XGB_B,"[0.7, 0.15, 0.15]",0.9448452858618783
rank_average,XGB_G+XGB_A+XGB_E,equal,0.944844720381074
triple,XGB_G+XGB_A+XGB_H,"[0.5, 0.25, 0.25]",0.9448444696545084
quad,XGB_G+XGB_A+XGB_D+XGB_H,"[0.5, 0.2, 0.15, 0.15]",0.944844395153388
triple,XGB_G+XGB_D+XGB_F,"[0.6, 0.2, 0.2]",0.944844345881638
triple,XGB_G+XGB_E+XGB_D,"[0.7, 0.15, 0.15]",0.9448442981847841
quad,XGB_G+XGB_A+XGB_E+XGB_D,"[0.35, 0.3, 0.2, 0.15]",0.9448439503499686
triple,XGB_G+XGB_A+XGB_E,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9448436576597916
pair,XGB_G+XGB_E,"[0.6, 0.4]",0.9448428223752319
triple,XGB_G+XGB_A+XGB_D,"[0.5, 0.25, 0.25]",0.9448420842765028
quad,XGB_G+XGB_A+XGB_D+XGB_B,"[0.5, 0.2, 0.15, 0.15]",0.9448409841766517
quad,XGB_G+XGB_A+XGB_E+XGB_H,"[0.35, 0.3, 0.2, 0.15]",0.9448401336939564
triple,XGB_G+XGB_A+XGB_C,"[0.5, 0.25, 0.25]",0.9448399331313233
quad,XGB_G+XGB_A+XGB_B+XGB_H,"[0.5, 0.2, 0.15, 0.15]",0.9448399084139881
triple,XGB_G+XGB_E+XGB_D,"[0.6, 0.2, 0.2]",0.9448398154097779
quad,XGB_G+XGB_A+XGB_D+XGB_H,"[0.4, 0.3, 0.2, 0.1]",0.944839510748839
triple,XGB_G+XGB_A+XGB_B,"[0.5, 0.25, 0.25]",0.9448383717731033
pair,XGB_G+XGB_C,"[0.8, 0.2]",0.9448381659349564
pair,XGB_G+XGB_H,"[0.8, 0.2]",0.9448379204218399
triple,XGB_G+XGB_E+XGB_H,"[0.6, 0.2, 0.2]",0.9448378988775715
triple,XGB_G+XGB_B+XGB_F,"[0.6, 0.2, 0.2]",0.9448377521794892
triple,XGB_G+XGB_E+XGB_F,"[0.5, 0.3, 0.2]",0.9448368593064865
quad,XGB_G+XGB_A+XGB_D+XGB_B,"[0.4, 0.3, 0.2, 0.1]",0.9448368386854327
triple,XGB_G+XGB_D+XGB_C,"[0.7, 0.15, 0.15]",0.944836758831217
quad,XGB_G+XGB_A+XGB_E+XGB_B,"[0.35, 0.3, 0.2, 0.15]",0.9448363404674331
triple,XGB_G+XGB_E+XGB_B,"[0.6, 0.2, 0.2]",0.9448358198052242
triple,XGB_G+XGB_D+XGB_H,"[0.7, 0.15, 0.15]",0.9448357232012513
triple,XGB_G+XGB_H+XGB_C,"[0.7, 0.15, 0.15]",0.9448356474278011
triple,XGB_G+XGB_B+XGB_H,"[0.7, 0.15, 0.15]",0.944835548961882
pair,XGB_G+XGB_H,"[0.75, 0.25]",0.9448347443761593
triple,XGB_G+XGB_B+XGB_C,"[0.7, 0.15, 0.15]",0.9448346153122585
